year	n_occ_depobio	n_occ_fr	per_occ_depobio
1863	2	11692	0.017105713308244952
1900	2	68991	0.00289892884579148
1901	5	16997	0.02941695593340001
1905	14297	47082	30.366169661441738
1906	2	34470	0.005802146794313896
1945	2	13194	0.01515840533575868
1947	4	19923	0.02007729759574361
1954	1	41915	0.002385780746749374
1955	1	47479	0.0021061943174877315
1957	1	74908	0.0013349708976344316
1958	1	77202	0.0012953032304862569
1960	1	117100	8.539709649871904e-4
1961	1	117980	8.476012883539584e-4
1962	4	83866	0.0047695132711706775
1963	4	91246	0.004383753808386121
1964	1	103794	9.634468273695974e-4
1965	1	149772	6.676815426114361e-4
1966	4	121508	0.0032919643151068244
1967	2	147367	0.0013571559440037457
1968	4	176647	0.002264403018449224
1969	2	179607	0.0011135423452315332
1970	74	177753	0.0416308022930696
1971	27	173634	0.015549949894605895
1972	8	267600	0.0029895366218236174
1973	70	233892	0.02992834299591264
1974	267	357101	0.07476876289901176
1975	380	404020	0.09405474976486312
1976	192	356310	0.053885661362296874
1977	126	354837	0.03550926199917145
1978	170	571490	0.02974680221876148
1979	82	698886	0.011732957878681215
1980	58	955331	0.006071194172491
1981	53	647847	0.008180943957446743
1982	65	519871	0.012503101731006347
1983	858	546664	0.15695198513163477
1984	398	473381	0.08407604022975151
1985	465	578726	0.08034890431741445
1986	192	549199	0.034960005389667495
1987	135	579199	0.02330805129152502
1988	231	590209	0.039138677993727645
1989	124	636946	0.01946789837757047
1990	125	710776	0.017586412596936305
1991	329	712851	0.04615270231787569
1992	281	1116105	0.025176842680572166
1993	247	1129773	0.02186279898705315
1994	517	1384130	0.037351982833982354
1995	4494	1510183	0.29757982972924474
1996	1724	1915340	0.09001012874998694
1997	446	2077738	0.021465651588410087
1998	291	2355209	0.012355591372145742
1999	536	2675509	0.020033571182156366
2000	492	2789533	0.01763736080555419
2001	5070	3484554	0.14549925184112514
2002	10036	4465248	0.2247579529737206
2003	2480	4384011	0.05656920112654827
2004	1418	5362166	0.026444537524574954
2005	1223	5604208	0.021822887373202423
2006	952	5534077	0.017202507301578927
2007	1703	5823235	0.029244912836249953
2008	10174	5530692	0.18395528082200202
2009	4276	5904518	0.07241912040915109
2010	8986	6104579	0.14720097815099123
2011	23972	6440521	0.37220591315516244
2012	10995	7127273	0.15426657572959532
2013	41296	6648852	0.6210997026253555
2014	100189	6435270	1.5568732935836413
2015	217337	6814231	3.1894574750988043
2016	363711	7413911	4.905791288835272
2017	403480	9084042	4.441635122338712
2018	657511	9621186	6.83399115244212
2019	586799	10181975	5.763115702012625
2020	410833	10344033	3.971690732231809
2021	354590	10568147	3.35527126940986
2022	297496	7160738	4.154543847296186
2023	66864	2411738	2.7724404558040714
